id,Label,Type,Role,Affiliated Actor(s),Description,Location,Latitude,Longitude,Connection Evidence
A052,Mostmanufaktur Havelland,Organization/Institution,Supporting Organisation,BioRegion Havelland,Fruit processing (juices/cider etc.),"Ketzürer Dorfstraße 30, 14778 Beetzseeheide-Ketzür",52.49472714605133,12.630331337423518,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A053,OBSTBAU BITTNER,Organization/Institution,Food Producer,BioRegion Havelland,Fruit farm production partner,"Neue Ch, 14641 Wustermark",52.508840972014745,12.967608483461717,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A054,Restaurant Theo im Fontane-Klub,Organization/Institution,Supporting Organisation,BioRegion Havelland,Gastronomy partner serving regional food,"Ritterstraße 69, 14770 Brandenburg an der Havel",52.41200156012799,12.556452037419158,https://www.bioregion-havelland.de/
A055,Sanddorn Christine Berger GmbH & Co.KG,Organization/Institution,Food Producer,BioRegion Havelland,Large-scale sea buckthorn producer/processor,"Sanddorn-Garten, Fercher Str. 60, 14542 Werder (Havel)-Petzow",52.34723105167963,12.944039112793996,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A056,HAVELKNOLLE,SoLaWi,Food Producer,BioRegion Havelland,CSA vegetable production system,"Bindefeldstraße 25, 14776 Brandenburg an der Havel-Göttin",52.36549243600508,12.543881968612647,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A057,LandWertSchaffen – mit Hand und Huf,SoLaWi,Food Producer,BioRegion Havelland,Regenerative agriculture / CSA-style farming,"Eichelkamp 3, 14469 Potsdam Nord",52.43659288290829,13.034716864401679,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A058,Luch Gärtnerei,SoLaWi,Food Producer,BioRegion Havelland,Market garden vegetable production,"Möthlower Hauptstraße 5, 14715 Märkisch Luch",52.609052989168646,12.65332596255569,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A059,VON HAND Blumen und Gemüse,Organization/Institution,Food Producer,BioRegion Havelland,Small-scale organic flower/vegetable farm,"Bliesendorfer Str. 55, 14542 Werder (Havel)",52.358567861134226,12.892978454617321,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A060,WaldRaum Café,Organization/Institution,Supporting Organisation,BioRegion Havelland,Cultural venue participating in regional food events,"Neuendorfer Str. 17, 14822 Borkheide",52.22842161728393,12.855008956465571,https://www.bioregion-havelland.de/
A061,Weingut Swillus,Organization/Institution,Food Producer,BioRegion Havelland,Wine producer in regional food economy,"Am Alten Weinberg 7, 14542 Werder (Havel)-Töplitz",52.441511863004166,12.89957879721736,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A062,European Union,Government,Governance,BioRegion Havelland,EU rural development funding source,,50.843257490382626,4.381848812715104,https://www.bioregion-havelland.de/
A063,Agrathaer GmbH,Organization/Institution,Supporting Organisation,BioRegion Havelland,Research and innovation consultancy for sustainable agriculture and rural development,"Eberswalder Str. 84, 15374 Müncheberg",52.515140564985245,14.114863131150056,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A064,GLS Bank,Organization/Institution,Supporting Organisation,,"Ethical bank financing social enterprises, organic farms, and cooperatives","Christstraße 9, 44789 Bochum, Germany",51.471091466320935,7.219914212747777,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A065,Netzwerk Junge Landwirtschaft,Organization/Institution,Civil Society,,Network supporting young ecological farmers in Germany,Marienstraße 19-20 10117 Berlin,52.52257611510429,13.38451775513034,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A066,BioBoden Genossenschaft eG,Organization/Institution,Supporting Organisation,Ökonauten eG,Land acquisition cooperative supporting ecological farming and land access in Germany,"Dorfstraße 58, 17321 Rothenklempenow",53.5209987299829,14.206594708642056,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf
A067,Kulturland eG,Organization/Institution,Supporting Organisation,Ökonauten eG,Cooperative focused on collective farmland ownership for agroecological transition,"Hauptstraße 19, 29456 Hitzacker (Elbe)",53.152769982689094,11.0480330184025,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf
A068,Regionalwert AG Berlin-Brandenburg,Organization/Institution,Supporting Organisation,Ökonauten eG,Regional investment cooperative supporting sustainable agriculture and food systems,"Nansenstraße 6a, 14471 Potsdam-Westliche Vorstadt",52.39665151178311,13.036887823927684,https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/
A069,FÖL Berlin-Brandenburg,Organization/Institution,Network or Intermediary,Ökonauten eG,Organic farming promotion network in Berlin-Brandenburg region,,52.52247427970806,13.38436054113533,https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/
A070,BNE-Servicestelle Brandenburg,Government,Education,Netzwerk “Hier kommt dein Essen her”,Service centre for Education for Sustainable Development (ESD/BNE) in Brandenburg,,52.45214452513118,13.311310110439985,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A071,Vernetzungsstelle Schulverpflegung Brandenburg,Government,Governance,Netzwerk “Hier kommt dein Essen her”,Public body coordinating school food systems in Brandenburg,,52.40111209987259,13.053335327638267,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A072,Evangelische Schule Berlin-Friedrichshain,School,Education,Netzwerk “Hier kommt dein Essen her”,School participating in food education and sustainable food system initiatives,,52.52128105057677,13.449094421232662,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A073,Sarah Wiener Stiftung,Organization/Institution,Education,Netzwerk “Hier kommt dein Essen her”,Foundation focused on nutrition education and children’s food literacy,,52.50179990663144,13.434093983965722,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A074,1 Hektar Zukunft,Organization/Institution,Education,Netzwerk “Hier kommt dein Essen her”,Initiative for sustainable agriculture education and farm-based learning,,52.27091311663479,13.307090106719986,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A075,GemüseBeatz,Organization/Institution,Food Producer,Netzwerk “Hier kommt dein Essen her”,Agroecological food culture initiative combining farming and education,,51.43832998768755,14.258241362202206,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A076,"Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",Government,Governance,LEADER program,Managing authority for LEADER funding applications in Brandenburg,,52.942845343239554,12.804565466374871,https://lelf.brandenburg.de/lelf/de/service/foerderung/leader/
A077,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",Government,Governance,LEADER program,Responsible ministry setting LEADER policy and funding framework in Brandenburg,,52.39393473793309,13.05365849087636,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A078,LEADER-Region Havelland (LAG Havelland),Organization/Institution,Governance,LEADER program,Regional LEADER implementation area covering Havelland,,52.605534993972,12.349858852775254,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A079,LEADER-Region Fläming-Havel,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,52.11432278726253,12.455521271805322,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A080,LEADER-Region Märkische Seen,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,52.537055010728395,13.633449866262229,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A081,LEADER-Region Uckermark,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,53.01620470504115,14.005686514180384,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A082,LEADER-Region Spree-Neiße,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,51.752164963206475,14.657437309268577,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A083,Bio Hofgut Kleimeier,SoLaWi,Food Producer,,,,52.42708428836298,12.876773571821897,BioRegion Havelland Kooperationspartner page
A084,Montessori-Oberschule Potsdam,School,Education,Jugendschule am Schlänitzsee; SoLaWi BAUERei Potsdam-Grube,Public Montessori secondary school in Potsdam that integrates the Jugendschule am Schlänitzsee into its Years 7–8 educational programme based on Maria Montessori’s Erdkinderplan.,"Schlüterstraße 2–4, 14471 Potsdam, Germany",52.38902102774497,13.013802895090794,https://www.potsdam-montessori.de/geschichte-jugendschule
A085,Landkreis Potsdam-Mittelmark,Government,Governance,,,,52.14243978938916,12.584650455110229,
A086,SoLaWi Members (Luch Gärtnerei),Organization/Institution,Civil Society,Luch Gärtnerei,Members of the Luch Gärtnerei solidarity agriculture scheme who collectively finance the farm and receive weekly harvest shares.,,,,https://www.luchgaertnerei.de/solawi
